amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type
-0.3258578552140044,-0.4579133206031604,-0.3680933273238346,-0.1950397862040218,-0.2575215103750495,1
-0.3155297403419985,-0.3696244012676668,-0.2752248688154391,-0.3342940600896974,-0.37842044594531,3
-0.2119964587801036,-0.0606620116585963,0.1492886708817889,-0.1481985472614002,-0.2359453505511783,0
3.4085998405304223,1.4816663261175924,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
-0.0518265192500812,1.54636594017064,2.042182236383117,0.0802405270358713,-0.0447302661048587,0
-0.2594598309730094,-0.4493568973950143,-0.3680933273238346,-0.3342940600896974,-0.3529119596881149,4
-0.3268149605582924,-0.4446533007369487,-0.3526865658949012,-0.3342940600896974,-0.37842044594531,3
-0.3240626102287354,-0.4607115633514781,-0.3680933273238346,-0.2633160304326531,-0.3434700818055725,1
6.550359625965322,3.1134141811433205,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
-0.1663624201162561,-0.4607115633514781,-0.3680933273238346,-0.1998747904030843,0.0018815407068797,1
-0.3241436374480047,-0.4488792987103271,-0.3589730960071656,-0.3342940600896974,-0.37842044594531,3
-0.3304589077565629,-0.4498409185019402,-0.3563767291488076,-0.3342940600896974,-0.37842044594531,3
0.5058782557905731,-0.4607115633514781,-0.3680933273238346,1.9955488516909607,2.2118116564207857,4
-0.313281026787551,-0.4380918363673781,-0.3532103564839899,-0.3342940600896974,-0.37842044594531,3
-0.3152057759439154,-0.4607115633514781,-0.3680933273238346,-0.3119361159687443,-0.3721742294925355,4
-0.3213010387398638,-0.4607115633514781,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,3
-0.3243722032163104,-0.4607115633514781,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,3
-0.1595802701883824,-0.3715530921852329,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
-0.3305206767758254,-0.4379863409093003,-0.343064714836283,-0.3342940600896974,-0.37842044594531,3
-0.2036430488012844,-0.4514879939289051,-0.3680933273238346,-0.3168672000770975,-0.1878057966635077,4
-0.1328569850472846,-0.4359497047437302,-0.2249688773759801,-0.3335248230860286,-0.37842044594531,0
-0.0794696766488697,-0.4521477687033743,-0.3680933273238346,0.2968274823437531,0.2622354070214766,4
-0.0474958548951722,4.192792086046094,5.00846612995224,0.3818743976848367,-0.2847985548349549,0
-0.3283406417360533,-0.4605967984180043,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,3
-0.1691422809459992,-0.3765193504637328,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
-0.0836714912375379,-0.3321280579082993,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
-0.3310917512460158,-0.4606316693016368,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
6.550359625965322,3.1134141811433205,-0.3680933273238346,-0.3333488548201494,2.428913768892079,1
-0.3247252248896904,-0.4602049688649452,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,3
-0.3252161050195174,-0.4607115633514781,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,3
-0.3247516050542186,-0.4362274623669523,-0.3444505237808234,-0.3342940600896974,-0.37842044594531,3
-0.3213555158193179,-0.4386104855859618,-0.3490946464349863,-0.3342940600896974,-0.37842044594531,3
-0.0309727187313314,-0.3047576938855171,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
-0.1313217852534568,-0.3568763742538973,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4
-0.3126840565824001,-0.4607115633514781,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,3
-0.096562289515204,-0.3821545249850567,-0.3680933273238346,-0.3299843095349924,-0.37842044594531,1
-0.3232518451077112,-0.4607115633514781,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,3
-0.2184280941700793,1.98386084428014,2.43523379672614,0.2544354885331833,-0.0511467941188188,0
