amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type,isFraud
-0.3310917512460158,-0.4606316693016368,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
-0.3310917512460158,-0.4606316693016368,-0.3680933273238346,-0.32568106487790754,-0.37842044594531,1,1
-0.3288608256053434,-0.45947298487714144,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
-0.3288608256053434,-0.45947298487714144,-0.3680933273238346,-0.3236398394996059,-0.37842044594531,1,1
-0.31413926600620884,-0.4518269918862432,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
-0.31413926600620884,-0.4518269918862432,-0.3680933273238346,-0.3317453746970292,-0.3742106271215566,1,1
0.022304148224414722,-0.46071156335147817,-0.3680933273238346,-0.3342525849923694,2.8421063331135583,1,1
0.7542274562382983,0.10305473888300602,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
0.7542274562382983,0.10305473888300602,-0.3680933273238346,-0.3342940600896974,0.4690249511788284,1,1
-0.30144582603417197,-0.44523435118109084,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
-0.30144582603417197,-0.44523435118109084,-0.3680933273238346,-0.32163195684660717,-0.37580356376630214,1,1
-0.3099379358471084,-0.44964493089381824,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
-0.3099379358471084,-0.44964493089381824,-0.3680933273238346,-0.33060043430435854,-0.3665820576822047,1,1
-0.21834574964233655,-0.45872565328650355,-0.3680933273238346,-0.3342940600896974,-0.33237645178523945,1,1
-0.13132178525345686,-0.3568763742538973,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
-0.13132178525345686,-0.3568763742538973,-0.3680933273238346,-0.3342940600896974,-0.29688542460530337,1,1
0.6003781242408431,0.023149420007954606,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
0.6003781242408431,0.023149420007954606,-0.3680933273238346,-0.3342940600896974,0.001524117614280804,1,1
0.4876376808290456,-0.03540501740151923,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
0.4876376808290456,-0.03540501740151923,-0.3680933273238346,-0.28046484464571475,0.0014296572081307507,1,1
-0.3185400621644962,-0.4541126503013079,-0.3680933273238346,-0.3342940600896974,-0.37842044594531,4,1
